id,edited,likeCount,collectionCount,shareCount,wordCount,lfFreq,emojiPerWord,withImages,withVideos,imageCount,videoCount,imageTextRatio,videoTextRatio,mediaTextRatio,linkPerWord,utmLinkRatio,authorUseNickname,authorSuspicious,authorHasCreatorBadge,authorHasOfficialCreatorBadge,postCount,timeDiffDays,postFreq,maxPostsPerDay,maxPostsPer12h,postIntervalStd,businessHourRatio,weekendRatio,travelPostRatio,forumVariety,forumEvenness,avgLikes,commentCount,totalCommentCount,subcomDepth,authorReplyRatio,authorReplyLinkRatio,authorReplyUTMLinkRatio,firstCommentTimeDiff,first30MinCommentRatio
261405288,1,16,23,3,4749,0.023583912402611075,0.00505369551484523,1,0,9,0,1.8951358180669615,0.0,1.8951358180669615,0.0027374184038745,0.0,1,0,0,0,3,293.4880092592593,0.01022188268465129,1,1,140.85079211930253,0.0,1.0,0.3333333333333333,2.0,1.0,25.666666666666668,0,0,0,0,0,0,1469149.5069666666,0
261404994,1,0,0,0,102,0.0392156862745098,0.00980392156862745,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,25,1259.9675462962964,0.01984178090418922,1,1,74.41595994614764,0.36,0.32,0.04,3.169925001442312,0.7804384258004121,4.68,0,0,0,0,0,0,1469149.5069666666,0
261404427,0,1,1,0,176,0.06818181818181818,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,6,2757.4972800925925,0.002175886099078411,1,1,536.3231751295987,0.16666666666666666,0.3333333333333333,0.3333333333333333,2.321928094887362,0.9591479170272447,1.0,1,1,0.0,0.0,0,0,5608.832633333333,0.0
261404187,0,20,28,7,12102,0.021401421252685505,0.00495785820525533,1,1,77,3,6.36258469674434,0.24789291026276647,6.610477607007106,0.0,0,1,0,0,0,2,75.02587962962963,0.026657468194616795,1,1,0,0.0,0.5,1.0,1.0,0,24.0,2,6,0.6666666666666666,0.5,0.0,0,919.5057333333333,0.0
261403855,0,4,2,0,1313,0.027418126428027417,0.008377760853008377,1,1,7,3,5.331302361005331,2.284843869002285,7.616146230007616,0.0,0,1,0,0,0,113,380.9434606481482,0.2966319458739062,3,3,8.014556202770573,0.2743362831858407,0.3274336283185841,0.035398230088495575,4.247927513443585,0.5617656547276422,108.24778761061947,0,0,0,0,0,0,1469149.5069666666,0
261402741,0,2,1,1,211,0.11374407582938388,0.014218009478672985,1,1,1,1,4.739336492890995,4.739336492890995,9.47867298578199,0.0,0,1,0,0,0,35,266.00483796296294,0.1315765542763294,2,2,7.211964450654089,0.4857142857142857,0.37142857142857144,0.42857142857142855,2.0,0.7906973303879764,5.857142857142857,0,0,0,0,0,0,1469149.5069666666,0
261402562,0,0,0,0,27,0.1111111111111111,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,3,404.71101851851853,0.007412696622349875,1,1,274.32060731168656,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,1.0,4.0,0,0,0,0,0,0,1469149.5069666666,0
261402452,1,5,0,0,412,0.038834951456310676,0.019417475728155338,1,1,1,1,2.4271844660194173,2.4271844660194173,4.854368932038835,0.0,0,1,0,1,0,165,1074.2930092592592,0.15358938257800814,2,2,11.871603268038903,0.24848484848484848,0.3090909090909091,0.2606060606060606,2.807354922057604,0.41330207130765645,80.02424242424243,0,0,0,0,0,0,1469149.5069666666,0
261401441,0,0,0,0,84,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,5,947.7411689814815,0.005275702020387486,1,1,370.42661290990566,0.2,0.0,1.0,1.0,0,2.0,0,0,0,0,0,0,1469149.5069666666,0
261400798,0,0,0,0,75,0.06666666666666667,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,13,808.1390856481481,0.016086339877465113,1,1,48.2828509095416,0.15384615384615385,0.3076923076923077,1.0,1.0,0,0.5384615384615384,0,0,0,0,0,0,1469149.5069666666,0
261400766,1,4,6,2,3534,0.027730616864742503,0.011035653650254669,1,1,19,4,5.376344086021506,1.1318619128466327,6.508205998868138,0.0,0,1,0,1,0,61,1386.4361226851852,0.043997699570794524,2,2,26.53455939194401,0.11475409836065574,0.2459016393442623,0.19672131147540983,3.0,0.7714536117999118,81.8688524590164,0,0,0,0,0,0,1469149.5069666666,0
261400679,1,3,0,0,696,0.02586206896551724,0.0,1,1,5,4,7.183908045977011,5.747126436781609,12.931034482758621,0.0,0,1,0,0,0,34,1693.2342361111112,0.020079915273913052,2,2,116.94337156282087,0.29411764705882354,0.5294117647058824,0.38235294117647056,3.0,0.8258655277879576,8.0,0,0,0,0,0,0,1469149.5069666666,0
261400664,0,0,0,0,201,0.029850746268656716,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,5,342.3330902777778,0.014605657887009616,2,2,131.54997651531775,0.6,0.2,0.2,2.584962500721156,1.0,0.2,0,0,0,0,0,0,1469149.5069666666,0
261399319,0,64,112,17,5215,0.03796740172579099,0.0149568552253116,1,0,27,0,5.177372962607862,0.0,5.177372962607862,0.0,0,1,0,1,1,41,1219.1299884259258,0.033630540130455626,1,1,27.742834941726496,0.3902439024390244,0.24390243902439024,0.024390243902439025,3.4594316186372973,0.7699440136651615,432.4878048780488,5,10,0.5,0.5,0.0,0,674.1609333333333,0.0
261399236,0,2,0,0,118,0.0847457627118644,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,0.0,1.0,1.0,0,2.0,4,8,0.5,0.5,0.0,0,954.7102166666666,0.0
261399188,0,2,0,0,501,0.015968063872255488,0.0,1,1,5,1,9.980039920159681,1.996007984031936,11.976047904191617,0.0,0,1,0,0,0,14,1387.502511574074,0.010090071825612393,1,1,231.41377312993026,0.14285714285714285,0.21428571428571427,0.5,2.807354922057604,0.7984806893213606,51.285714285714285,0,0,0,0,0,0,1469149.5069666666,0
261399152,0,5,1,0,412,0.03398058252427184,0.0024271844660194173,1,0,2,0,4.854368932038835,0.0,4.854368932038835,0.0,0,1,0,1,0,109,1731.9375810185186,0.06293529350861435,3,3,38.41378797540237,0.10091743119266056,0.3211009174311927,0.01834862385321101,3.4594316186372973,0.5463842280550175,52.71559633027523,0,0,0,0,0,0,1469149.5069666666,0
261398865,0,1,0,1,244,0.04918032786885246,0.004098360655737705,1,0,1,0,4.0983606557377055,0.0,4.0983606557377055,0.0,0,1,0,0,0,2,1.997673611111111,1.0011645490414198,1,1,0,0.0,0.0,0.5,1.584962500721156,1.0,7.0,1,1,0.0,1.0,0.0,0,145.01036666666667,0.0
261398719,1,29,37,5,1585,0.03406940063091483,0.0056782334384858045,1,1,8,1,5.047318611987382,0.6309148264984228,5.678233438485805,0.0006309148264984228,0.0,1,0,1,0,27,1945.3471875,0.013879270586500386,2,2,106.47129568495497,0.48148148148148145,0.1111111111111111,0.9259259259259259,2.0,0.2870860727445793,35.111111111111114,2,4,0.5,0.5,0.0,0,186.00878333333333,0.0
261398341,0,2,0,0,114,0.017543859649122806,0.008771929824561403,0,0,0,0,0.0,0.0,0.0,0.008771929824561403,0.0,1,0,0,0,110,547.1188310185186,0.20105321506705146,3,3,6.2167994913860465,0.15454545454545454,0.37272727272727274,0.7363636363636363,2.807354922057604,0.49423662912493277,3.190909090909091,0,0,0,0,0,0,1469149.5069666666,0
261398269,0,3,3,0,322,0.049689440993788817,0.015527950310559006,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,54,1915.1250925925926,0.028196591548439127,2,2,40.18405801953198,0.5740740740740741,0.09259259259259259,0.018518518518518517,3.9068905956085187,0.8193257897791321,67.0925925925926,9,17,0.47058823529411764,0.29411764705882354,0.0,0,15.1227,0.17647058823529413
261397906,1,544,485,80,1213,0.025556471558120363,0.009068425391591096,1,1,5,2,4.122011541632316,1.6488046166529267,5.7708161582852435,0.0,0,1,0,1,1,57,950.8784143518518,0.05994457244973109,2,2,22.88577729466768,0.07017543859649122,0.2982456140350877,0.3333333333333333,2.584962500721156,0.6423066405419168,395.87719298245617,35,99,0.6464646464646465,0.04040404040404041,0.0,0,172.87581666666668,0.0
261397801,0,10,21,1,1357,0.026529108327192335,0.0029476787030213707,1,1,8,3,5.895357406042741,2.210759027266028,8.106116433308769,0.0,0,1,0,0,0,17,1241.2674421296297,0.013695678645073681,3,3,270.08405037588483,0.23529411764705882,0.35294117647058826,0.17647058823529413,2.584962500721156,0.8887263188962904,14.176470588235293,0,0,0,0,0,0,1469149.5069666666,0
261396853,1,12,12,1,2877,0.02745915884602016,0.0,1,0,12,0,4.1710114702815435,0.0,4.1710114702815435,0.0,0,1,0,0,0,3,639.8090162037037,0.004688899224647459,1,1,36.58008171467619,0.3333333333333333,0.0,0.3333333333333333,2.0,1.0,12.666666666666666,1,3,0.6666666666666666,0.3333333333333333,0.0,0,1150.8497,0.0
261396610,0,6,1,0,3609,0.04100858963701857,0.0,1,0,21,0,5.818786367414797,0.0,5.818786367414797,0.0,0,1,0,0,0,35,528.1759606481481,0.06626579512829389,2,2,64.47916952066002,0.4,0.34285714285714286,0.9142857142857143,2.321928094887362,0.2789272227581975,12.028571428571428,0,0,0,0,0,0,1469149.5069666666,0
261395959,0,4,3,1,286,0.08041958041958042,0.006993006993006993,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,1,1,11,1646.4476157407407,0.006681050702637189,1,1,193.828730192376,0.18181818181818182,0.2727272727272727,0.2727272727272727,2.584962500721156,0.8491853220906186,41.36363636363637,2,4,0.5,0.5,0.0,0,678.8222000000001,0.0
261395931,0,53,83,22,2561,0.03709488481062085,0.0015618898867629833,1,1,14,4,5.4666146036704415,1.5618898867629833,7.028504490433424,0.0015618898867629833,0.0,1,0,1,0,61,699.5707291666666,0.08719632977306471,3,2,29.68220866536284,0.47540983606557374,0.21311475409836064,0.19672131147540983,3.4594316186372973,0.79552717077291,30.868852459016395,3,4,0.25,0.75,0.6666666666666666,0.0,42.761250000000004,0.0
261395235,1,2,0,0,192,0.06770833333333333,0.0,1,0,1,0,5.208333333333333,0.0,5.208333333333333,0.0,0,1,0,0,0,2,732.8054745370371,0.0027292372525785724,1,1,0,0.5,0.5,0.5,1.584962500721156,1.0,15.5,0,0,0,0,0,0,1469149.5069666666,0
261395061,1,3,0,0,109,0.027522935779816515,0.009174311926605505,1,0,1,0,9.174311926605505,0.0,9.174311926605505,0.0,0,1,0,0,0,1,0.0,1,1,1,0,1.0,0.0,1.0,1.0,0,3.0,0,0,0,0,0,0,1469149.5069666666,0
261394989,0,1,0,0,88,0.03409090909090909,0.011363636363636364,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1,1,1,0,1.0,0.0,1.0,1.0,0,1.0,2,2,0.0,0.0,0,0,3244.0567333333333,0.0
261394647,1,15,25,12,14179,0.02115805063826786,0.0015515903801396431,1,1,139,8,9.80323012906411,0.564214683687143,10.367444812751252,0.0,0,1,0,0,0,7,369.7972222222222,0.018929293081042915,1,1,71.45151512507572,0.5714285714285714,0.2857142857142857,1.0,1.0,0,33.42857142857143,2,6,0.6666666666666666,0.3333333333333333,0.0,0,430.4298166666667,0.0
261394126,0,6,3,1,846,0.04018912529550828,0.008274231678486997,1,0,2,0,2.3640661938534278,0.0,2.3640661938534278,0.0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,0.0,1.0,1.0,0,6.0,2,5,0.6,0.4,0.0,0,714.6434333333333,0.0
261393600,0,0,0,0,356,0.0702247191011236,0.0,1,0,1,0,2.8089887640449436,0.0,2.8089887640449436,0.0,0,1,0,0,0,2,8.884074074074075,0.22512194105140282,1,1,0,0.0,0.0,1.0,1.0,0,1.5,0,0,0,0,0,0,1469149.5069666666,0
261393412,1,2,1,0,722,0.0110803324099723,0.0,1,1,4,1,5.54016620498615,1.3850415512465375,6.925207756232687,0.0,0,1,0,0,0,14,1387.502511574074,0.010090071825612393,1,1,231.41377312993026,0.14285714285714285,0.21428571428571427,0.5,2.807354922057604,0.7984806893213606,51.285714285714285,0,0,0,0,0,0,1469149.5069666666,0
261392893,0,15,14,2,3729,0.032180209171359615,0.004827031375703942,1,0,27,0,7.240547063555913,0.0,7.240547063555913,0.0,0,1,0,0,0,13,1278.929699074074,0.01016474948498874,1,1,106.34879451955526,0.46153846153846156,0.15384615384615385,0.6923076923076923,1.584962500721156,0.8904916402194913,22.076923076923077,0,0,0,0,0,0,1469149.5069666666,0
261392597,0,4,3,0,906,0.02759381898454746,0.008830022075055188,1,0,6,0,6.622516556291391,0.0,6.622516556291391,0.0,0,1,0,0,0,9,17.884502314814814,0.5032289879570625,1,1,1.2654802181847473,0.0,0.2222222222222222,0.1111111111111111,1.584962500721156,0.5032583347756457,15.11111111111111,0,0,0,0,0,0,1469149.5069666666,0
261392394,0,0,0,0,141,0.1347517730496454,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,5,1288.350324074074,0.003880932000070288,1,1,345.66236592409524,0.2,0.2,0.2,1.584962500721156,0.7219280948873623,1.8,0,0,0,0,0,0,1469149.5069666666,0
261392391,1,1,0,1,497,0.04225352112676056,0.014084507042253521,1,0,3,0,6.036217303822937,0.0,6.036217303822937,0.0,0,1,0,0,0,9,1389.9507986111112,0.006475049339151518,1,1,144.9923767995525,0.4444444444444444,0.1111111111111111,0.7777777777777778,2.0,0.6223659728744493,1.2222222222222223,0,0,0,0,0,0,1469149.5069666666,0
261392367,0,0,1,0,446,0.05829596412556054,0.0,1,0,1,0,2.242152466367713,0.0,2.242152466367713,0.0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,0,1469149.5069666666,0
261391459,1,5,4,1,2181,0.02567629527739569,0.0032095369096744614,1,0,12,0,5.502063273727648,0.0,5.502063273727648,0.0,0,1,0,0,0,3,560.7968402777777,0.00534953085419315,1,1,116.45370105882044,0.0,0.0,1.0,1.0,0,8.0,1,2,0.5,0.5,0.0,0,514.3695166666666,0.0
261390895,0,9,3,0,51,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1,1,1,0,1.0,0.0,1.0,1.0,0,9.0,5,5,0.0,0.0,0,0,15.486633333333334,0.2
261390111,0,0,0,0,104,0.038461538461538464,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1,1,1,0,1.0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,0,1469149.5069666666,0
261389859,0,20,25,2,4943,0.04693505968035606,0.004046125834513453,1,1,25,1,5.0576572931418164,0.20230629172567266,5.259963584867489,0.00020230629172567267,0.0,1,0,1,0,61,699.5707291666666,0.08719632977306471,3,2,29.68220866536284,0.47540983606557374,0.21311475409836064,0.19672131147540983,3.4594316186372973,0.79552717077291,30.868852459016395,1,1,0.0,1.0,1.0,0.0,120.15656666666668,0.0
261389837,1,23,22,2,14254,0.01978392030307282,0.0016837378981338573,1,1,132,17,9.260558439736215,1.1926476778448154,10.45320611758103,0.0,0,1,0,0,0,7,369.7972222222222,0.018929293081042915,1,1,71.45151512507572,0.5714285714285714,0.2857142857142857,1.0,1.0,0,33.42857142857143,4,6,0.3333333333333333,0.3333333333333333,0.0,0,1486.3135666666667,0.0
261389776,0,1,1,0,338,0.038461538461538464,0.0,1,0,3,0,8.875739644970414,0.0,8.875739644970414,0.0,0,1,0,0,0,1,0.0,1,1,1,0,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,1469149.5069666666,0
261389745,0,2,1,0,254,0.027559055118110236,0.003937007874015748,1,1,1,1,3.937007874015748,3.937007874015748,7.874015748031496,0.0,0,1,0,1,0,24,2065.138310185185,0.01162149764092453,1,1,184.56668757181697,0.4166666666666667,0.3333333333333333,0.16666666666666666,2.0,0.5606987876205061,192.91666666666666,1,1,0.0,0.0,0,0,7682.919250000001,0.0
261389658,1,11,5,3,3650,0.029315068493150687,0.0073972602739726025,1,1,27,1,7.397260273972602,0.273972602739726,7.671232876712328,0.000273972602739726,0.0,1,0,0,0,4,294.0771759259259,0.013601871642726691,1,1,118.3626283919231,0.5,0.25,0.5,1.584962500721156,1.0,31.75,2,4,0.5,0.5,0.0,0,4.71345,0.25
