file_name,text_length,chunks_count,expected_sentiment_value,sentiment_volatility
1276.txt,2355,6,2.667,0.5225
1277.txt,160,1,3.4042,0.0
1278.txt,134,1,3.0488,0.0
1279.txt,172,1,3.0166,0.0
128.txt,79,1,2.8026,0.0
1280.txt,215,1,2.5814,0.0
1281.txt,426,2,2.7557,0.3608
1282.txt,594,2,3.1188,0.1212
1283.txt,409,2,3.5104,0.7479
1284.txt,402,2,3.0173,0.0266
1285.txt,189,1,2.9192,0.0
1286.txt,5392,14,3.2679,0.6483
1287.txt,1706,5,2.9972,0.0697
1288.txt,1268,4,3.056,0.2551
1289.txt,63,1,3.273,0.0
129.txt,62,1,4.2836,0.0
1290.txt,271,1,3.0534,0.0
1291.txt,573,2,3.797,0.7303
1292.txt,5392,14,3.2679,0.6483
1293.txt,1706,5,2.9972,0.0697
1294.txt,1268,4,3.056,0.2551
1295.txt,63,1,3.273,0.0
1296.txt,1615,5,4.2912,0.6064
1297.txt,271,1,3.0534,0.0
1298.txt,573,2,3.797,0.7303
1299.txt,150,1,3.0073,0.0
13.txt,746,2,2.9495,0.1696
130.txt,144,1,3.2343,0.0
1300.txt,633,2,2.745,0.8332
1301.txt,1989,5,3.4218,0.5856
1302.txt,930,3,3.3766,0.3328
1303.txt,63,1,2.8199,0.0
1304.txt,1352,4,2.8336,0.2751
1305.txt,244,1,3.1219,0.0
1306.txt,1632,5,3.1731,0.5918
1307.txt,220,1,2.1778,0.0
1308.txt,1422,4,3.7009,0.5801
1309.txt,214,1,3.0298,0.0
131.txt,865,3,3.344,0.8036
1310.txt,484,2,3.4343,0.8822
1311.txt,378,1,3.0898,0.0
1312.txt,37,1,3.0562,0.0
1313.txt,392,1,3.0083,0.0
1314.txt,354,1,1.5675,0.0
1315.txt,591,2,3.1185,0.0799
1316.txt,86,1,3.0028,0.0
1317.txt,125,1,1.7324,0.0
1318.txt,152,1,2.957,0.0
1319.txt,597,2,2.2189,0.7937
132.txt,150,1,3.0152,0.0
1320.txt,625,2,3.167,0.072
1321.txt,118,1,3.0938,0.0
1322.txt,346,1,3.0081,0.0
1323.txt,79,1,3.0068,0.0
1324.txt,2606,7,1.9461,0.3783
1325.txt,23,1,3.0046,0.0
1326.txt,2129,6,2.9751,0.7384
1327.txt,3848,10,2.7409,0.775
1328.txt,38,1,2.7817,0.0
1329.txt,191,1,3.0213,0.0
133.txt,1242,4,4.2438,0.4609
1330.txt,5286,14,2.5714,0.6149
1331.txt,156,1,2.9383,0.0
1332.txt,228,1,2.9276,0.0
1333.txt,124,1,2.9345,0.0
1334.txt,291,1,3.0091,0.0
1335.txt,121,1,3.023,0.0
1336.txt,177,1,2.93,0.0
1337.txt,119,1,2.882,0.0
